Skier skis down the mountain	train.conceptset.0_snt.0	frame	ski-01	ski-01
Skier skis down the mountain	train.conceptset.0_snt.0	location.0	Where do skiers usually ski down the mountain?	ski-01
Skier skis down the mountain	train.conceptset.0_snt.0	manner.1	How do skiers usually ski down the mountain?	ski-01
Skier skis down the mountain	train.conceptset.0_snt.0	purpose.2	Why do skiers usually ski down the mountain?	ski-01
Skier skis down the mountain	train.conceptset.0_snt.0	time.3	When do skiers usually ski down the mountain?	ski-01
Skier skis down the mountain	train.conceptset.0_snt.0	ARG1.4	What do skiers usually ski down the mountain?	ski-01
A skier is skiing down a mountain.	train.conceptset.0_snt.1	frame	ski-01	ski-01
Three skiers are skiing on a snowy mountain.	train.conceptset.0_snt.2	frame	ski-01	ski-01
Three skiers are skiing on a snowy mountain.	train.conceptset.0_snt.2	manner.10	How do the three skiers usually ski on snowy mountains?	ski-01
Three skiers are skiing on a snowy mountain.	train.conceptset.0_snt.2	purpose.11	Why do three skiers usually ski on snowy mountains?	ski-01
Three skiers are skiing on a snowy mountain.	train.conceptset.0_snt.2	time.12	When do the three skiers usually ski on snowy mountains?	ski-01
Three skiers are skiing on a snowy mountain.	train.conceptset.0_snt.2	ARG1.13	What do three skiers usually ski on snowy mountains?	ski-01
The dog is wagging his tail.	train.conceptset.1_snt.3	frame	wag-01	wag-01
The dog is wagging his tail.	train.conceptset.1_snt.3	location.14	Where does their dog usually wag a tail?	wag-01
The dog is wagging his tail.	train.conceptset.1_snt.3	manner.15	How is it that dogs usually wag tail?	wag-01
The dog is wagging his tail.	train.conceptset.1_snt.3	purpose.16	Why do dogs usually wag tail?	wag-01
The dog is wagging his tail.	train.conceptset.1_snt.3	time.17	When does their dog usually wag a tail?	wag-01
A dog wags his tail at the boy.	train.conceptset.1_snt.4	frame	wag-01	wag-01
A dog wags his tail at the boy.	train.conceptset.1_snt.4	location.18	Where do dogs usually wag tail at boys?	wag-01
A dog wags his tail at the boy.	train.conceptset.1_snt.4	manner.19	How often do dogs usually wag tail at boys?	wag-01
A dog wags his tail at the boy.	train.conceptset.1_snt.4	purpose.20	Why do dogs usually wag tail at boys?	wag-01
